TransID,CustID,TransTotal,TransNumItems,TransDesc
1,276,295.9071214190329,8,SlRBCwmJjOuBdxZpAGwZTpODiqQEQvHFwixS
6,326,442.0852257377492,14,MMyaPtMHvGrboVaOxHYqOEGAHL
7,254,388.8960907922342,8,kGGobVksxEivDHyELHOiAKiyIJVsCWhnVtZK
12,277,529.7848287036937,11,uBScLiNauebLoiUeDPNhDuAkWGgrGiNJrssxVAyAGiUc
13,238,477.17864410869277,13,wBpMDGVwDZjDYKAXItLMPa
15,393,12.24480965939515,2,SdIDTPCBvvpLgBQDJpNMdtSlxfkgTgqpvRx
16,247,183.46112559290776,13,XRbWvnmOfUgwhrkANuvwpSVLUFKqjAFtPShWEKygRIc
20,64,324.40649613836405,6,eHqqWaJHqnGgigJwEzWeqPOHrdqlkVybqCuKx
22,439,362.1598589419309,3,MEYdfcpAodJJyJwAjbbOxqrYNVwbNidFKCSoBnnN
26,478,124.68141739788278,13,demtJURfrjwttthDAZveiIeYCwGlm
28,446,247.42311589172593,4,WxfgATysfZeiEvbsfjWpfUPCcfRy
31,437,328.5882688341859,10,XYFOCMSEJFmzdxaACyUqHetODIGxqKHKfXsHPiPHqELDp
32,383,358.3173932230805,15,vhOhQigEFCeqACJtBWeVaSJWuXqcMenk
33,266,600.067733339747,15,ySZnGXVEkZgmQiHfpVap
34,254,451.3131628921071,5,zmOkfFucxkPWonJWbOAl
36,472,210.74640363543102,4,jYiQCRZWLMFHybCWSasaizKcIv
37,1,393.5252794922905,1,MjnpRWleGKsHAWkMjjenGQPFKTiSnwxxy
41,264,151.83859491782786,5,teaeXBGYDcLkTSAuUQVeGxchmLyegdYbLeJcCqPXAnSJixUK
42,30,595.4036502060936,12,deydxCJSDsJPcryraCMDQejNVb
45,277,331.672724623733,13,zIbSWlYqukwnfoKuhnDURYfBRpLUDoOZ
48,248,63.374426968368205,12,yUdThLGsRoOmyXMktBXReeFtqRcGI
49,17,315.9535044973449,1,zVnIULnBNEaacoOiairjTqmr
58,374,204.903399769724,12,QlKbgvmJRrqyPMRUOzlIJFlpPowkTV
61,111,369.33527923335316,14,JJYkuIIqsmwVQxYvOKrubfSMadsnQiEEmzjIhv
63,496,209.94110183560574,15,kbZJrhwtqXgSeIOJhTwk
67,342,596.3506635204766,10,JjQijATcmswptWKDrmzIPziBTHA
79,175,481.52984245908664,13,wFgnjAjRcnOHlFpzdVskdrBhDtTvzEFWMfSqR
81,174,289.37467499160925,14,bUhUOINvuEMLkHlzbLrIJMjKjKUKWbauHHgs
95,410,323.14532177853596,7,MhGtLIvlpaIzdKwOoqOQsuZlqdfGDIxBfmFBfwndOrkvLawrV
96,355,365.23531894201955,7,oPKtPIdrSdgzbDFbuDPdDnvZsCRMoDoHRm
99,247,585.3254593773927,2,ucaAjZWvbIrgHgcDnbYnQzSyCETfJhuuMVmtgtXMMOJF
103,196,343.1755570260829,9,xWkpFVihXRxnGVrKzeLrVroEqSRN
109,78,491.0358062676375,5,GMcAPpVKiZfJrRcqnmwaRBoCkcpkChjl
115,392,509.0751069170489,14,rqHXZQdsCNRUKNcZDgcPEbxIuLlT
119,36,222.32441635783033,15,eEOHpvDZXXYZbqgdQlCaHjXfxwZASXfNdswvTraykFgRYo
