TransID,CustID,TransTotal,TransNumItems,TransDesc
1,276,295.9071214190329,8,SlRBCwmJjOuBdxZpAGwZTpODiqQEQvHFwixS
2,136,1639.6475019197253,13,vSoWzZwkNvRjJXIQNxcx
3,428,1052.9224211943629,3,oUyyAsfXwYImHVZXAsxcgAyDKVBXRBodTbiaEVBU
4,298,812.6566587559485,14,noeKDDJdHpTxpzTDSGSX
5,54,1515.2245069656587,11,tMWoMsPSpRUSlTULWDFqfAjmxbnHG
6,326,442.0852257377492,14,MMyaPtMHvGrboVaOxHYqOEGAHL
7,254,388.8960907922342,8,kGGobVksxEivDHyELHOiAKiyIJVsCWhnVtZK
8,97,637.3160808790847,11,CfOBGOHSmRrCkAmqFWxjOKChVnBfRKqj
9,225,1382.9089352874382,9,gejyoRsVMENNYvhJruuWgqLonuBShRmxaGXU
10,422,1597.9715797968092,10,ygUvfNtHMrkuIvOvuFAPSPYTjGqCqNeB
11,15,830.4089948557088,10,IBZmCOTossdoiLmeKpGsVHygpwsbpHBmyrmXCSeh
12,277,529.7848287036937,11,uBScLiNauebLoiUeDPNhDuAkWGgrGiNJrssxVAyAGiUc
13,238,477.17864410869277,13,wBpMDGVwDZjDYKAXItLMPa
14,157,1249.5229034912695,1,BsAkcKlDyYwiBHCliKZgdXUqJYvVAqEInkxSmBfSSfA
15,393,12.24480965939515,2,SdIDTPCBvvpLgBQDJpNMdtSlxfkgTgqpvRx
16,247,183.46112559290776,13,XRbWvnmOfUgwhrkANuvwpSVLUFKqjAFtPShWEKygRIc
17,336,783.1403922031154,15,ujGSMkkwPbWhJSBsDFuBTxXqgyxkaRJgShEoFvFoV
18,312,912.7467397962316,8,DtOFytarpoejCpuyGlLChpkNdwQrMfZ
19,180,1625.6527698106806,12,sgDhTaFqtxzeSXBAOwrAQeKLjPuLDwDPCIR
20,64,324.40649613836405,6,eHqqWaJHqnGgigJwEzWeqPOHrdqlkVybqCuKx
21,43,1286.0618824628482,13,wMcIBJUEQEaiNMHkxAniHiISpGhLb
22,439,362.1598589419309,3,MEYdfcpAodJJyJwAjbbOxqrYNVwbNidFKCSoBnnN
23,131,1114.594191047027,3,pHHzzhAUAimeUepyRyfexKPnJqznPqmXWJk
24,470,1412.2450583756902,4,TejqBsYOeIDUEJMZWihpyBcYGfitVRCEK
25,37,704.1617037627826,6,lDXJMdivPrqSPTkpqpnntT
26,478,124.68141739788278,13,demtJURfrjwttthDAZveiIeYCwGlm
27,254,718.2892844905839,7,jkDTQxLlDunQLRtwzKtKvsNDMeRBSHnRCKiDtHqofLkQPsFu
28,446,247.42311589172593,4,WxfgATysfZeiEvbsfjWpfUPCcfRy
